CodArticulo,d_media,d_sigma,StockMes,horizon,seguridad,stock_objetivo,Estado
ME000229563,12.477011,26.701765651149156,571.554,180.0,458.5494767250313,2704.0,OK
ME000229564,13.145276,14.06883168568023,628.459,180.0,241.60407562125275,2608.0,OK
ME000229565,12.340007,31.280255975437427,2317.191,180.0,537.1759005286816,2758.0,OK
ME000229566,19.505821,25.78302310737737,2757.753,180.0,442.77190912161535,3954.0,OK
ME000229567,73.83027,56.4032185842853,5961.886,180.0,968.6125893445738,14258.0,OK
ME000229568,16.503586,32.953615085787206,3775.755,180.0,565.9124999898836,3537.0,OK
ME000229569,152.67867,110.69999001304782,11210.646,180.0,1901.0511573329109,29383.0,OK
ME000229570,36.43408,181.27931438038436,7141.901,180.0,3113.1100405946468,9671.0,OK
ME000229571,19.07031,35.217130301412496,3675.218,180.0,604.7838514669518,4037.0,OK
ME000229572,12.685782,29.65819865100074,5123.914,180.0,509.3203067430161,2793.0,Sobre-stock
ME000232306,198.51271,634.8023220656963,2080.875,180.0,10901.461589096538,46634.0,Quiebre Potencial
ME000232949,,0.0,,,,,OK
ME000233713,,0.0,,,,,OK
ME000236914,44.61369,31.17776914548071,1325.487,180.0,535.4158939859743,8566.0,OK
ME000236915,29.716478,28.519856630464016,3881.04,180.0,489.77155687116016,5839.0,OK
ME000236916,36.481617,25.471244189390426,2328.7,180.0,437.4177291185166,7004.0,OK
ME000236918,40.173626,24.791777310677475,1995.385,180.0,425.74924300578635,7657.0,OK
ME000236919,28.211592,29.504704144706597,1000.475,180.0,506.68434526912324,5585.0,OK
ME000236920,24.752123,17.282587254870787,3052.319,180.0,296.79390665443253,4752.0,OK
ME000236943,21.868166,15.650344689139883,1240.681,180.0,268.7634016989665,4205.0,OK
ME000237050,,0.0,,,,,OK
ME000237124,,0.0,,,,,OK
ME000239228,,0.0,,,,,OK
ME000239473,,0.0,,,,,OK
ME000239950,,0.0,,,,,OK
ME000242607,,0.0,,,,,OK
ME000242608,,0.0,,,,,OK
ME000245881,,0.0,,,,,OK
ME000245882,-0.4309607,4.300516000414658,58.742,180.0,73.85277016514065,-4.0,Quiebre Potencial
ME000245883,-1.0132644,2.8983225213043493,19.988,180.0,49.77289864976723,-133.0,Quiebre Potencial
ME000245884,,0.0,,,,,OK
ME000245885,-1.4050854,8.200981267506956,65.721,180.0,140.8354682599522,-112.0,Quiebre Potencial
ME000245886,,0.0,,,,,OK
ME000245887,-0.10116776,1.6569718028848759,77.042,180.0,28.455180196231414,10.0,Sobre-stock
ME000245890,,0.0,,,,,OK
ME000245892,,0.0,,,,,OK
ME000245901,-0.7749913,1.111054521056609,154.711,180.0,19.080141586875257,-120.0,Sobre-stock
ME000245912,0.7012845,1.9398023954344765,182.804,180.0,33.31223054675265,160.0,OK
ME000245913,-0.63971,2.1348666364800297,110.247,180.0,36.662069161464416,-78.0,Sobre-stock
ME000245914,-0.8722877,2.281607620370631,88.633,180.0,39.18205238116044,-118.0,Sobre-stock
ME000245993,,0.0,,,,,OK
ME000245994,,0.0,,,,,OK
ME000246049,,0.0,,,,,OK
ME000246050,,0.0,,,,,OK
ME000246051,,0.0,,,,,OK
ME000246052,,0.0,,,,,OK
ME000246053,,0.0,,,,,OK
ME000246055,,0.0,,,,,OK
ME000246056,,0.0,,,,,OK
ME000246057,,0.0,,,,,OK
ME000246062,,0.0,,,,,OK
ME000246064,,0.0,,,,,OK
ME000246066,1.2715082,4.085033659592048,25.0,90.0,49.605161021813046,164.0,Quiebre Potencial
ME000246095,-3.8806872,0.2581988897471611,18.0,90.0,3.1353468707624677,-346.0,Sobre-stock
ME000246096,-2.0405593,0.0,59.0,90.0,0.0,-184.0,Sobre-stock
ME000246097,,0.0,,,,,OK
ME000246098,-1.1083609,0.0,53.0,90.0,0.0,-100.0,Sobre-stock
ME000246099,-0.27424583,0.5122499389946279,27.0,90.0,6.220325907860456,-18.0,Sobre-stock
ME000246356,59.94536,117.62318824912413,194.992,180.0,2019.9432549526734,12810.0,Quiebre Potencial
ME000246357,43.557587,36.03272524926319,1179.398,180.0,618.7900651923882,8459.0,OK
ME000247870,8.218364,9.258269576738169,541.0,180.0,158.9922825800045,1638.0,OK
ME000247871,,0.0,,,,,OK
ME000247872,19.948143,54.990756799059724,320.0,180.0,944.3563801870564,4535.0,Quiebre Potencial
ME000247873,15.619553,15.065634182912227,174.0,180.0,258.72216696680636,3070.0,Quiebre Potencial
ME000247874,21.246323,16.87815814069243,568.0,180.0,289.8486446406124,4114.0,OK
ME000247875,10.238505,11.536463929644995,729.0,180.0,198.1157189119531,2041.0,OK
ME000247876,,0.0,,,,,OK
ME000247878,7.542731,4.606758320361751,828.0,180.0,79.1118701586557,1437.0,OK
ME000247879,13.547836,6.35574980278138,467.0,180.0,109.14730450176039,2548.0,OK
ME000247880,17.933432,20.4074060630503,583.0,180.0,350.4564265069196,3578.0,OK
ME000247881,13.460968,3.639354057959142,121.0,180.0,62.498634760599174,2485.0,OK
ME000247882,,0.0,,,,,OK
ME000247883,26.087257,6.180255298574288,462.0,180.0,106.13353701823003,4802.0,OK
ME000247885,16.134663,14.665909071342588,632.0,180.0,251.85768679950985,3156.0,OK
ME000247886,11.880744,5.864730320176288,482.0,180.0,100.71502591194844,2239.0,OK
ME000247887,37.254433,11.203223742397642,952.0,180.0,192.39298448748073,6898.0,OK
ME000247890,20.963709,10.981600773819615,194.0,180.0,188.58705278995163,3962.0,OK
ME000247893,11.910164,10.498730081935307,579.0,180.0,180.2947134000329,2324.0,OK
ME000247895,7.165714,13.089266170755673,517.0,180.0,224.78199500849706,1515.0,OK
ME000247898,,11.905180945005974,2.0,180.0,204.44769697895842,,Quiebre Potencial
ME000247899,9.67671,8.708935385887047,9.0,180.0,149.55856538493543,1891.0,Quiebre Potencial
ME000247900,13.698985,1.8856180831641267,193.0,180.0,32.3817232401242,2498.0,OK
ME000247901,,0.0,,,,,OK
ME000247902,14.839257,20.01779763665879,446.0,180.0,343.76568019510034,3015.0,OK
ME000247904,14.992183,6.7699499423719685,197.0,180.0,116.2603643551834,2815.0,OK
ME000247907,41.64073,16.85147537227,452.0,180.0,289.3904214033354,7785.0,OK
ME000247908,,0.0,,,,,OK
ME000247909,35.52454,13.548308627524937,2.0,180.0,232.66513206752748,6627.0,Quiebre Potencial
ME000247910,28.952084,16.53175395682167,289.0,180.0,283.89984487491364,5495.0,OK
ME000247947,0.82048106,1.9677962857527254,173.0,180.0,33.79296968305686,181.0,OK
ME000247950,,0.0,,,,,OK
ME000248061,,0.4,7.0,90.0,4.8572584860186305,,OK
ME000248062,,0.5734883511361752,5.0,90.0,6.963952900472549,,Quiebre Potencial
ME000248063,,0.3726779962499649,5.0,90.0,4.525483399593903,,OK
ME000248083,,0.0,,,,,OK
ME000248090,-0.18235955,7.1446172434606705,50.0,90.0,86.75813183788594,70.0,Quiebre Potencial
ME000248091,-1.1065098,2.6549743668986507,27.0,90.0,32.23974193445103,-67.0,Quiebre Potencial
ME000248092,-1.2199682,2.333571416424952,48.0,90.0,28.336898912901535,-81.0,Sobre-stock
ME000248093,-0.98280734,0.5467073155618908,12.0,90.0,6.638746869703648,-82.0,Sobre-stock
ME000248094,-1.3201365,1.0110500592068734,43.0,90.0,12.277328699680561,-107.0,Sobre-stock
ME000248096,9.657795,17.036203280726085,309.0,90.0,206.873107387113,1076.0,OK
ME000248154,35.584957,24.663689234716415,1430.04,90.0,299.49478457963164,3502.0,OK
ME000248155,41.123005,18.450774355927,1101.153,90.0,224.05045078485338,3925.0,OK
ME000248183,,0.0,,,,,OK
ME000248184,,0.0,,,,,OK
ME000248185,,0.0,,,,,OK
ME000248186,,0.0,,,,,OK
ME000248187,,0.0,,,,,OK
ME000248188,,0.0,,,,,OK
ME000248189,,0.0,,,,,OK
ME000248190,,0.0,,,,,OK
ME000248191,,0.0,,,,,OK
ME000248192,,0.0,,,,,OK
ME000248193,,0.0,,,,,OK
ME000248194,,0.0,,,,,OK
ME000248195,,0.0,,,,,OK
ME000248196,,0.0,,,,,OK
ME000248197,,0.0,,,,,OK
ME000248199,,0.0,,,,,OK
ME000248202,,0.0,,,,,OK
ME000248203,,0.0,,,,,OK
ME000248204,,0.0,,,,,OK
ME000248205,,0.0,,,,,OK
ME000248206,,0.0,,,,,OK
ME000248207,,0.0,,,,,OK
ME000248208,,0.0,,,,,OK
ME000248210,,0.0,,,,,OK
ME000248211,,0.0,,,,,OK
ME000248212,,0.0,,,,,OK
ME000248213,,0.0,,,,,OK
ME000248214,,0.0,,,,,OK
ME000248215,,0.0,,,,,OK
ME000248217,,0.0,,,,,OK
ME000248219,,0.0,,,,,OK
ME000248220,,0.0,,,,,OK
ME000248221,,0.0,,,,,OK
ME000248222,,0.0,,,,,OK
ME000248223,,0.0,,,,,OK
ME000248224,,0.0,,,,,OK
ME000248225,,0.0,,,,,OK
ME000248226,,0.0,,,,,OK
ME000248227,,0.0,,,,,OK
ME000248230,,0.0,,,,,OK
ME000248231,,0.0,,,,,OK
ME000248232,,0.0,,,,,OK
ME000248233,,0.0,,,,,OK
ME000248234,,0.0,,,,,OK
ME000248235,,0.0,,,,,OK
ME000248236,,0.0,,,,,OK
ME000248237,,0.0,,,,,OK
ME000248238,,0.0,,,,,OK
ME000248239,,0.0,,,,,OK
ME000248240,,0.0,,,,,OK
ME000248241,,0.0,,,,,OK
