feature,gain
ohe__CodArticulo_00000006236,0.0
ohe__CodArticulo_00000006233,0.0
ohe__CodArticulo_00000006232,0.0
ohe__CodArticulo_00000006231,0.0
ohe__CodArticulo_00000006372,0.0
ohe__CodArticulo_00000006371,0.0
ohe__CodArticulo_00000006370,0.0
ohe__CodArticulo_00000006368,0.0
ohe__CodArticulo_00000006367,0.0
ohe__CodArticulo_00000006366,0.0
ohe__CodArticulo_00000006358,0.0
ohe__CodArticulo_00000006345,0.0
ohe__CodArticulo_00000006344,0.0
ohe__CodArticulo_00000006342,0.0
ohe__CodArticulo_00000006337,0.0
ohe__CodArticulo_00000006334,0.0
ohe__CodArticulo_00000006300,0.0
ohe__CodArticulo_00000006280,0.0
ohe__CodArticulo_00000006250,0.0
ohe__CodArticulo_00000006249,0.0
ohe__CodArticulo_00000006598,0.0
ohe__CodArticulo_00000006597,0.0
ohe__CodArticulo_00000006596,0.0
ohe__CodArticulo_00000006525,0.0
ohe__CodArticulo_00000006479,0.0
ohe__CodArticulo_00000006468,0.0
ohe__CodArticulo_00000006467,0.0
ohe__CodArticulo_00000006453,0.0
ohe__CodArticulo_00000006452,0.0
ohe__CodArticulo_00000006441,0.0
ohe__CodArticulo_00000006398,0.0
ohe__CodArticulo_00000006378,0.0
ohe__CodArticulo_00000006377,0.0
ohe__CodArticulo_00000006376,0.0
ohe__CodArticulo_00000006855,0.0
ohe__CodArticulo_00000006854,0.0
ohe__CodArticulo_00000006840,0.0
ohe__CodArticulo_00000006824,0.0
ohe__CodArticulo_00000006743,0.0
ohe__CodArticulo_00000006710,0.0
ohe__CodArticulo_00000006671,0.0
ohe__CodArticulo_00000006670,0.0
ohe__CodArticulo_00000006623,0.0
ohe__CodArticulo_00000006622,0.0
ohe__CodArticulo_00000006619,0.0
ohe__CodArticulo_00000006616,0.0
ohe__CodArticulo_00000006611,0.0
ohe__CodArticulo_00000006610,0.0
ohe__CodArticulo_00000006599,0.0
ohe__CodArticulo_00000006896,0.0
ohe__CodArticulo_00000006895,0.0
ohe__CodArticulo_00000006894,0.0
ohe__CodArticulo_00000006892,0.0
ohe__CodArticulo_00000006891,0.0
ohe__CodArticulo_00000006890,0.0
ohe__CodArticulo_00000006889,0.0
ohe__CodArticulo_00000006888,0.0
ohe__CodArticulo_00000006886,0.0
ohe__CodArticulo_00000006885,0.0
ohe__CodArticulo_00000006884,0.0
ohe__CodArticulo_00000006860,0.0
ohe__CodArticulo_00000006859,0.0
ohe__CodArticulo_00000006858,0.0
ohe__CodArticulo_00000006857,0.0
ohe__CodArticulo_00000006856,0.0
ohe__CodArticulo_00000006977,0.0
ohe__CodArticulo_00000006976,0.0
ohe__CodArticulo_00000006975,0.0
ohe__CodArticulo_00000006974,0.0
ohe__CodArticulo_00000006973,0.0
ohe__CodArticulo_00000006972,0.0
ohe__CodArticulo_00000006971,0.0
ohe__CodArticulo_00000006970,0.0
ohe__CodArticulo_00000006969,0.0
ohe__CodArticulo_00000006955,0.0
ohe__CodArticulo_00000006928,0.0
ohe__CodArticulo_00000006927,0.0
ohe__CodArticulo_00000006925,0.0
ohe__CodArticulo_00000006924,0.0
ohe__CodArticulo_00000006923,0.0
ohe__CodArticulo_00000006922,0.0
ohe__CodArticulo_00000007126,0.0
ohe__CodArticulo_00000007122,0.0
ohe__CodArticulo_00000007110,0.0
ohe__CodArticulo_00000007109,0.0
ohe__CodArticulo_00000007074,0.0
ohe__CodArticulo_00000007073,0.0
ohe__CodArticulo_00000007033,0.0
ohe__CodArticulo_00000007022,0.0
ohe__CodArticulo_00000007020,0.0
ohe__CodArticulo_00000006983,0.0
ohe__CodArticulo_00000006982,0.0
ohe__CodArticulo_00000006981,0.0
ohe__CodArticulo_00000006980,0.0
ohe__CodArticulo_00000006979,0.0
ohe__CodArticulo_00000006978,0.0
